assembly-v2,box-construction-v2,component-fitting-v2,object-assembly-v2,part-joining-v2,piece-integration-v2,structure-building-v2,unit-combination-v2,component-assembly-v2,object-construction-v2
basketball-v2,court-game-v2,hoop-shooting-v2,net-scoring-v2,slam-dunk-v2,sports-ball-v2,court-competition-v2,court-play-v2,athletic-game-v2,team-sport-v2
bin-picking-v2,container-grabbing-v2,object-retrieval-v2,item-extraction-v2,stock-handling-v2,inventory-management-v2,warehouse-logistics-v2,supply-chain-operations-v2,material-handling-v2,industrial-automation-v2
box-close-v2,container-sealing-v2,package-closure-v2,crate-securing-v2,carton-fastening-v2,parcel-enclosing-v2,shipment-preparation-v2,delivery-readiness-v2,logistics-finalizing-v2,transportation-packaging-v2
button-press-topdown-v2,switch-activation-overhead-v2,control-input-aerial-v2,interface-engagement-elevated-v2,mechanism-triggering-top-view-v2,device-operation-high-angle-v2,console-interaction-vertical-v2,panel-actuation-elevated-perspective-v2,equipment-engagement-overhead-angle-v2,machinery-control-top-down-view-v2
button-press-topdown-wall-v2,switch-activation-overhead-barrier-v2,control-input-aerial-obstacle-v2,interface-engagement-elevated-boundary-v2,mechanism-triggering-top-view-obstruction-v2,device-operation-high-angle-partition-v2,console-interaction-vertical-partition-v2,panel-actuation-elevated-perspective-divider-v2,equipment-engagement-overhead-angle-barrier-v2,machinery-control-top-down-view-wall-v2
button-press-v2,switch-activation-v2,control-input-v2,interface-engagement-v2,mechanism-triggering-v2,device-operation-v2,console-interaction-v2,panel-actuation-v2,equipment-engagement-v2,machinery-control-v2
button-press-wall-v2,switch-activation-barrier-v2,control-input-obstacle-v2,interface-engagement-boundary-v2,mechanism-triggering-obstruction-v2,device-operation-partition-v2,console-interaction-divider-v2,panel-actuation-partition-v2,equipment-engagement-barrier-v2,machinery-control-wall-v2
coffee-button-v2,beverage-dispense-v2,drink-vending-v2,java-preparation-v2,caffeine-delivery-v2,liquid-dispensing-v2,hot-drink-procurement-v2,caffeinated-beverage-v2,barista-automation-v2,espresso-machine-v2
coffee-pull-v2,beverage-retrieval-v2,drink-collection-v2,java-acquisition-v2,caffeine-procurement-v2,liquid-gathering-v2,hot-drink-obtainment-v2,caffeinated-beverage-extraction-v2,barista-assistance-v2,espresso-handling-v2
coffee-push-v2,beverage-placement-v2,drink-positioning-v2,java-delivery-v2,caffeine-distribution-v2,liquid-arranging-v2,hot-drink-organization-v2,caffeinated-beverage-arrangement-v2,barista-facilitation-v2,espresso-positioning-v2
dial-turn-v2,knob-rotation-v2,control-adjustment-v2,setting-modification-v2,parameter-calibration-v2,level-regulation-v2,value-alteration-v2,input-variation-v2,configuration-fine-tuning-v2,preference-customization-v2
disassemble-v2,take-apart-v2,dismount-v2,deconstruct-v2,break-down-v2,demount-v2,unbuild-v2,disjoin-v2,disunite-v2,separate-v2,divide-v2,disconnect-v2,disengage-v2,dissociate-v2,detach-v2,part-v2,uncouple-v2,disjoint-v2,unfasten-v2,loosen-v2
handle-pull-side-v2,handle-drag-side-v2,handle-tug-side-v2,handle-haul-side-v2,handle-draw-side-v2,handle-trail-side-v2,handle-lug-side-v2,handle-trawl-side-v2,handle-pluck-side-v2,handle-jerk-side-v2,handle-wrench-side-v2,handle-pull-flank-v2,handle-drag-flank-v2,handle-tug-flank-v2,handle-haul-flank-v2,handle-draw-flank-v2,handle-trail-flank-v2,handle-lug-flank-v2,handle-trawl-flank-v2,handle-pluck-flank-v2
handle-pull-v2,handle-drag-v2,handle-tug-v2,handle-haul-v2,handle-draw-v2,handle-trail-v2,handle-lug-v2,handle-trawl-v2,handle-pluck-v2,handle-jerk-v2,handle-wrench-v2,handle-pull-out-v2,handle-drag-out-v2,handle-tug-out-v2,handle-haul-out-v2,handle-draw-out-v2,handle-trail-out-v2,handle-lug-out-v2,handle-trawl-out-v2,handle-pluck-out-v2
lever-pull-v2,lever-drag-v2,lever-tug-v2,lever-haul-v2,lever-draw-v2,lever-trail-v2,lever-lug-v2,lever-trawl-v2,lever-pluck-v2,lever-jerk-v2,lever-wrench-v2,lever-pull-out-v2,lever-drag-out-v2,lever-tug-out-v2,lever-haul-out-v2,lever-draw-out-v2,lever-trail-out-v2,lever-lug-out-v2,lever-trawl-out-v2,lever-pluck-out-v2
peg-insert-side-v2,peg-put-side-v2,peg-place-side-v2,peg-position-side-v2,peg-situate-side-v2,peg-locate-side-v2,peg-install-side-v2,peg-implant-side-v2,peg-embed-side-v2,peg-inset-side-v2,peg-imbed-side-v2,peg-ingress-side-v2,peg-introgress-side-v2,peg-introduce-side-v2,peg-induct-side-v2,peg-immit-side-v2,peg-importune-side-v2,peg-impose-side-v2,peg-infiltrate-side-v2,peg-insinuate-side-v2
pick-place-wall-v2,grasp-place-wall-v2,clutch-place-wall-v2,grip-place-wall-v2,grab-place-wall-v2,seize-place-wall-v2,catch-place-wall-v2,snatch-place-wall-v2,take-place-wall-v2,pick-position-wall-v2,grasp-position-wall-v2,clutch-position-wall-v2,grip-position-wall-v2,grab-position-wall-v2,seize-position-wall-v2,catch-position-wall-v2,snatch-position-wall-v2,take-position-wall-v2,pick-situate-wall-v2,grasp-situate-wall-v2
pick-out-of-hole-v2,grasp-out-of-hole-v2,clutch-out-of-hole-v2,grip-out-of-hole-v2,grab-out-of-hole-v2,seize-out-of-hole-v2,catch-out-of-hole-v2,snatch-out-of-hole-v2,take-out-of-hole-v2,pick-from-hole-v2,grasp-from-hole-v2,clutch-from-hole-v2,grip-from-hole-v2,grab-from-hole-v2,seize-from-hole-v2,catch-from-hole-v2,snatch-from-hole-v2,take-from-hole-v2,pick-extract-hole-v2,grasp-extract-hole-v2
reach-v2,extend-v2,stretch-v2,elongate-v2,lengthen-v2,protrude-v2,project-v2,jut-v2,obtrude-v2,bulge-v2,swell-v2,spread-v2,expand-v2,amplify-v2,magnify-v2,enlarge-v2,widen-v2,broaden-v2,dilate-v2,distend-v2
push-back-v2,shove-back-v2,thrust-back-v2,repel-back-v2,repulse-back-v2,force-back-v2,press-back-v2,impel-back-v2,propel-back-v2,drive-back-v2,ram-back-v2,butt-back-v2,push-reverse-v2,shove-reverse-v2,thrust-reverse-v2,repel-reverse-v2,repulse-reverse-v2,force-reverse-v2,press-reverse-v2,impel-reverse-v2
push-v2,shove-v2,thrust-v2,repel-v2,repulse-v2,force-v2,press-v2,impel-v2,propel-v2,drive-v2,ram-v2,butt-v2,push-forth-v2,shove-forth-v2,thrust-forth-v2,repel-forth-v2,repulse-forth-v2,force-forth-v2,press-forth-v2,impel-forth-v2
pick-place-v2,grasp-position-v2,clutch-locate-v2,seize-arrange-v2,grip-organize-v2,clasp-order-v2,clench-align-v2,snatch-situate-v2,grab-station-v2,take-install-v2,catch-settle-v2,capture-establish-v2,secure-set-v2,obtain-deposit-v2,acquire-lay-v2,procure-put-v2,gain-store-v2,attain-stow-v2,get-stack-v2,fetch-pile-v2
plate-slide-v2,plate-glide-v2,plate-coast-v2,plate-drift-v2,plate-float-v2,plate-skim-v2,plate-slip-v2,plate-skate-v2,plate-sail-v2,plate-soar-v2,plate-cruise-v2,plate-wing-v2,plate-waft-v2,plate-breeze-v2,plate-meander-v2,plate-hover-v2,plate-flit-v2,plate-flutter-v2,plate-sweep-v2,plate-stream-v2
plate-slide-side-v2,plate-glide-lateral-v2,plate-coast-sidelong-v2,plate-drift-oblique-v2,plate-float-flanking-v2,plate-skim-sidereal-v2,plate-slip-alongside-v2,plate-skate-beside-v2,plate-sail-adjacent-v2,plate-soar-nearby-v2,plate-cruise-neighboring-v2,plate-wing-proximate-v2,plate-waft-contiguous-v2,plate-breeze-abutting-v2,plate-meander-adjoining-v2,plate-hover-bordering-v2,plate-flit-edging-v2,plate-flutter-skirting-v2,plate-sweep-fringed-v2,plate-stream-verged-v2
plate-slide-back-v2,plate-glide-backward-v2,plate-coast-rearward-v2,plate-drift-receding-v2,plate-float-retreating-v2,plate-skim-retiring-v2,plate-slip-withdrawing-v2,plate-skate-pulling-back-v2,plate-sail-departing-v2,plate-soar-exiting-v2,plate-cruise-evacuating-v2,plate-wing-vacating-v2,plate-waft-abandoning-v2,plate-breeze-deserting-v2,plate-meander-fleeing-v2,plate-hover-escaping-v2,plate-flit-absconding-v2,plate-flutter-retreating-v2,plate-sweep-withdrawing-v2,plate-stream-receding-v2
plate-slide-back-side-v2,plate-glide-rear-lateral-v2,plate-coast-behind-sidelong-v2,plate-drift-back-oblique-v2,plate-float-receding-flanking-v2,plate-skim-retreating-sidereal-v2,plate-slip-retiring-alongside-v2,plate-skate-withdrawing-beside-v2,plate-sail-pulling-back-adjacent-v2,plate-soar-departing-nearby-v2,plate-cruise-exiting-neighboring-v2,plate-wing-evacuating-proximate-v2,plate-waft-vacating-contiguous-v2,plate-breeze-abandoning-abutting-v2,plate-meander-deserting-adjoining-v2,plate-hover-fleeing-bordering-v2,plate-flit-escaping-edging-v2,plate-flutter-absconding-skirting-v2,plate-sweep-retreating-fringed-v2,plate-stream-withdrawing-verged-v2
peg-insert-side-v2,peg-induct-lateral-v2,peg-instate-sidelong-v2,peg-implant-oblique-v2,peg-inculcate-flanking-v2,peg-infix-sidereal-v2,peg-instill-alongside-v2,peg-ingraft-beside-v2,peg-inoculate-adjacent-v2,peg-inset-nearby-v2,peg-insinuate-neighboring-v2,peg-inlay-proximate-v2,peg-inweave-contiguous-v2,peg-intertwine-abutting-v2,peg-interlace-adjoining-v2,peg-interlock-bordering-v2,peg-interdigitate-edging-v2,peg-interconnect-skirting-v2,peg-interfuse-fringed-v2,peg-intermingle-verged-v2
peg-unplug-side-v2,peg-disconnect-lateral-v2,peg-detach-sidelong-v2,peg-disengage-oblique-v2,peg-disunite-flanking-v2,peg-separate-sidereal-v2,peg-disjoin-alongside-v2,peg-dissever-beside-v2,peg-disunite-adjacent-v2,peg-divorce-nearby-v2,peg-disassociate-neighboring-v2,peg-disentangle-proximate-v2,peg-unravel-contiguous-v2,peg-unwind-abutting-v2,peg-unbind-adjoining-v2,peg-uncouple-bordering-v2,peg-unfasten-edging-v2,peg-untie-skirting-v2,peg-unlock-fringed-v2,peg-unchain-verged-v2
soccer-v2,football-v2,futbol-v2,kickball-v2,footie-v2,calcio-v2,association-v2,spherical-v2,ball-game-v2,pitch-sport-v2,net-sport-v2,goal-game-v2,kicking-game-v2,dribbling-game-v2,heading-game-v2,shooting-game-v2,passing-game-v2,teamwork-game-v2,strategic-game-v2,athletic-game-v2
stick-push-v2,staff-propel-v2,rod-impel-v2,cane-drive-v2,pole-urge-v2,stave-prod-v2,shaft-force-v2,baton-press-v2,stake-thrust-v2,wand-shove-v2,scepter-nudge-v2,branch-impel-v2,switch-advance-v2,twig-promote-v2,shoot-expedite-v2,offshoot-hasten-v2,sprig-accelerate-v2,stem-hurry-v2,tendril-rush-v2,runner-speed-v2
stick-pull-v2,staff-tug-v2,rod-drag-v2,cane-haul-v2,pole-trail-v2,stave-trawl-v2,shaft-lug-v2,baton-tow-v2,stake-draw-v2,wand-reel-v2,scepter-winch-v2,branch-hoist-v2,switch-heave-v2,twig-hale-v2,shoot-crane-v2,offshoot-lift-v2,sprig-raise-v2,stem-elevate-v2,tendril-upraise-v2,runner-upcast-v2
push-wall-v2,shove-barrier-v2,thrust-obstruction-v2,propel-impediment-v2,drive-hindrance-v2,force-obstacle-v2,impel-hurdle-v2,urge-barricade-v2,prod-blockade-v2,press-rampart-v2,ram-bulwark-v2,butt-fortification-v2,shoulder-defense-v2,charge-protection-v2,rush-guard-v2,lunge-shield-v2,plunge-fence-v2,burst-boundary-v2,dash-limit-v2,bolt-border-v2
push-v2,push-forward-v2,push-ahead-v2,push-onward-v2,push-along-v2,push-farther-v2,push-further-v2,push-in-motion-v2,push-in-progress-v2,push-in-action-v2,push-in-movement-v2,push-in-advancement-v2,push-in-progression-v2,push-in-propulsion-v2,push-in-thrust-v2,push-in-impetus-v2,push-in-drive-v2,push-in-force-v2,push-in-momentum-v2,push-in-inertia-v2
reach-wall-v2,reach-barrier-v2,reach-obstruction-v2,reach-impediment-v2,reach-hindrance-v2,reach-obstacle-v2,reach-hurdle-v2,reach-barricade-v2,reach-blockade-v2,reach-rampart-v2,reach-bulwark-v2,reach-fortification-v2,reach-defense-v2,reach-protection-v2,reach-guard-v2,reach-shield-v2,reach-fence-v2,reach-boundary-v2,reach-limit-v2,reach-border-v2
reach-v2,extend-v2,stretch-v2,span-v2,traverse-v2,cross-v2,cover-v2,bridge-v2,compass-v2,range-v2,scope-v2,sweep-v2,scale-v2,spread-v2,diffuse-v2,pervade-v2,permeate-v2,penetrate-v2,perfuse-v2,suffuse-v2
shelf-place-v2,shelf-position-v2,shelf-arrange-v2,shelf-organize-v2,shelf-order-v2,shelf-align-v2,shelf-situate-v2,shelf-locate-v2,shelf-station-v2,shelf-install-v2,shelf-settle-v2,shelf-establish-v2,shelf-set-v2,shelf-deposit-v2,shelf-lay-v2,shelf-put-v2,shelf-store-v2,shelf-stow-v2,shelf-stack-v2,shelf-pile-v2
sweep-into-v2,sweep-inward-v2,sweep-inwards-v2,sweep-inside-v2,sweep-within-v2,sweep-interior-v2,sweep-inner-v2,sweep-internal-v2,sweep-inmost-v2,sweep-intimate-v2,sweep-intrinsic-v2,sweep-innate-v2,sweep-inherent-v2,sweep-ingrained-v2,sweep-imbued-v2,sweep-infused-v2,sweep-implanted-v2,sweep-embedded-v2,sweep-ingrained-v2,sweep-indwelling-v2
sweep-v2,brush-v2,whisk-v2,swish-v2,swipe-v2,wipe-v2,mop-v2,clean-v2,tidy-v2,scour-v2,scrub-v2,wash-v2,rinse-v2,flush-v2,purge-v2,cleanse-v2,sanitize-v2,disinfect-v2,sterilize-v2,decontaminate-v2
window-open-v2,window-unlock-v2,window-unfasten-v2,window-unbar-v2,window-unbolt-v2,window-untie-v2,window-unshutter-v2,window-unseal-v2,window-unstick-v2,window-unglue-v2,window-unfix-v2,window-unattach-v2,window-unfastened-v2,window-unbound-v2,window-unrestrained-v2,window-untethered-v2,window-untied-v2,window-unrestricted-v2,window-unconfined-v2,window-unfettered-v2
window-close-v2,window-shut-v2,window-seal-v2,window-bar-v2,window-bolt-v2,window-lock-v2,window-fasten-v2,window-secure-v2,window-latch-v2,window-fix-v2,window-attach-v2,window-bind-v2,window-restrain-v2,window-tether-v2,window-tie-v2,window-restrict-v2,window-confine-v2,window-fetter-v2,window-shackle-v2,window-enclose-v2
